# Data source: https://houseofgraphs.org/graphs/1317 (Small Rhombicosidodecahedral Graph)
60
1.2000000000000002 0 1 2 3 4
0.2833037485642689 -1.2000000000000002 0 53 54 58
0.2833037485642689 1.2000000000000002 0 52 55 59
0.8534196512477812 0.2473882820258192 0 4 57 59
0.8524172496606459 -0.24786494538232295 0 3 56 58
0.5256343322543597 -0.0021449851042700807 23 24 56 57
-0.2878145557063797 -0.0007149950347564715 11 12 15 16
0.24596428944345838 0.09986097318768639 8 10 18 24
0.24546308864989053 -0.09437934458788488 7 9 17 23
0.004636107340503237 -0.08651439920556103 8 10 11 17
0.002631304166231585 0.09175769612711038 7 9 12 18
-0.17354077477289342 -0.14395233366434912 6 9 13 19
-0.17755038112143706 0.14466732869910626 6 10 14 20
-0.1006160593087605 -0.3651241310824229 11 17 19 36
-0.11089067557690291 0.3667924528301887 12 18 20 37
-0.48979847551425293 0.12750744786494528 6 16 20 22
-0.48629006995927737 -0.12989076464746763 6 15 19 21
0.08683303748564297 -0.30577954319761647 8 9 13 27
0.08407643312101909 0.3069712015888779 7 10 14 28
-0.3634958755351363 -0.28814299900695106 11 13 16 32
-0.3685078834708154 0.28647467725918574 12 14 15 31
-0.6657199540565939 -0.1463356504468718 16 22 30 33
-0.6667223556437296 0.14800397219463757 15 21 29 33
0.3970763287041874 -0.18446871896722916 5 8 26 27
0.4010859350527305 0.18232373386295941 5 7 25 28
0.47626605408791933 0.41445878848063566 24 28 45 57
0.47426125091364746 -0.4168421052631581 23 27 44 56
0.21965124778114253 -0.41922542204568014 17 23 26 43
0.21789704500365437 0.41922542204568036 18 24 25 42
-0.6554453377884513 0.366077457795432 22 31 35 41
-0.6541923358045317 -0.3644091360476662 21 32 34 40
-0.44093139814138027 0.4425819265143992 20 29 37 38
-0.4389265949671084 -0.44091360476663377 19 30 36 39
-0.8714628798162263 0.0014299900695137202 21 22 40 41
-0.6489297274720683 -0.6291956305858988 30 39 40 50
-0.644168319933173 0.6325322740814299 29 38 41 51
-0.14722773311057713 -0.5326713008937434 13 32 39 43
-0.14672653231700927 0.5336246276067529 14 31 38 42
-0.35597786363161765 0.6735253227408142 31 35 37 47
-0.3612404719640807 -0.672095332671301 32 34 36 46
-0.9185757544116111 -0.27145978152929495 30 33 34 49
-0.9180745536180432 0.27646474677259203 29 33 35 48
0.0760572204239327 0.5898709036742801 28 37 45 47
0.07405241724966105 -0.5913008937437936 27 36 44 46
0.3414430406181479 -0.6656603773584906 26 43 46 58
0.3469562493473948 0.6623237338629594 25 42 47 59
-0.10262086248303193 -0.8000794438927508 39 43 44 53
-0.09460164978594532 0.8005561072492554 38 42 45 52
-1.0711913960530435 0.3510625620655413 41 49 51 55
-1.0726949984337475 -0.34558093346573937 40 48 50 54
-0.768716717134802 -0.7471698113207541 34 49 53 54
-0.7639553095959069 0.7493147964250247 35 48 52 55
-0.06878980891719744 0.9628599801390268 2 47 51 59
-0.07179701367860503 -0.9621449851042696 1 46 50 58
-1.2000000000000002 -0.7416881827209534 1 49 50 55
-1.2000000000000002 0.7416881827209536 2 48 51 54
0.6820089798475513 -0.22403177755710035 4 5 26 57
0.6837631826250394 0.21664349553128137 3 5 25 56
0.42313876996971933 -0.8098510427010925 1 4 44 53
0.4253941735407749 0.8081827209533268 2 3 45 52
